timestamp,txId,userSessionId,teamId,userId,adId,adCategory
26/05/2016 15:13,5974,5809,27,611,2,electronics
26/05/2016 15:17,5976,5705,18,1874,21,movies
26/05/2016 15:22,5978,5791,53,2139,25,computers
26/05/2016 15:22,5973,5756,63,212,10,fashion
26/05/2016 15:22,5980,5920,9,1027,20,clothing
26/05/2016 15:27,5977,5954,77,595,4,games
26/05/2016 15:28,5981,5674,54,770,6,movies
26/05/2016 15:35,5975,5919,59,2133,3,electronics
26/05/2016 15:35,5979,5945,75,253,3,electronics
26/05/2016 15:36,5972,5914,78,1821,12,computers
26/05/2016 15:38,6000,5955,64,2009,17,games
26/05/2016 15:41,6001,5892,53,1538,21,movies
26/05/2016 15:43,5999,5705,18,1874,3,electronics
26/05/2016 15:48,6002,5702,20,355,29,automotive
26/05/2016 16:00,6003,5920,9,1027,0,sports
26/05/2016 16:01,5998,5892,53,1538,25,computers
26/05/2016 16:07,6031,5938,11,1155,2,electronics
26/05/2016 16:08,6037,5711,18,128,23,fashion
26/05/2016 16:08,6040,5945,75,253,11,games
26/05/2016 16:17,6035,5886,64,68,2,electronics
26/05/2016 16:20,6038,5775,35,868,22,computers
26/05/2016 16:21,6039,5917,51,2030,10,fashion
26/05/2016 16:23,6034,5655,9,1277,1,sports
26/05/2016 16:26,6032,5676,44,1926,14,fashion
26/05/2016 16:28,6028,5886,64,68,21,movies
26/05/2016 16:29,6027,5747,94,239,15,sports
26/05/2016 16:30,6030,5750,44,2283,20,clothing
26/05/2016 16:34,6033,5706,9,1652,18,games
26/05/2016 16:35,6029,5832,100,2092,8,hardware
26/05/2016 16:36,6036,5967,22,1782,15,sports
26/05/2016 16:40,6060,5806,72,1264,27,games
26/05/2016 16:43,6057,5725,77,343,9,sports
26/05/2016 16:43,6062,5915,59,801,6,movies
26/05/2016 16:48,6059,5746,13,1072,10,fashion
26/05/2016 16:53,6066,5725,77,343,11,games
26/05/2016 16:55,6061,5728,77,751,26,movies
26/05/2016 16:56,6056,5721,9,21,4,games
26/05/2016 16:57,6065,5758,100,1793,1,sports
26/05/2016 17:00,6064,5736,36,2161,5,computers
26/05/2016 17:01,6055,5761,32,2336,10,fashion
26/05/2016 17:01,6063,5687,66,1315,28,hardware
26/05/2016 17:04,6058,5906,74,62,20,clothing
26/05/2016 17:17,6092,5761,32,2336,25,computers
26/05/2016 17:22,6089,5908,27,856,22,computers
26/05/2016 17:22,6091,5666,63,462,1,sports
26/05/2016 17:23,6090,5716,18,374,6,movies
26/05/2016 17:42,6124,5935,97,412,13,computers
26/05/2016 17:45,6123,5934,27,2384,8,hardware
26/05/2016 17:47,6122,5685,97,1756,1,sports
26/05/2016 17:53,6121,5844,53,670,17,games
26/05/2016 17:55,6120,5806,72,1264,15,sports
26/05/2016 18:07,6148,5956,22,1717,0,sports
26/05/2016 18:11,6151,5946,64,846,12,computers
26/05/2016 18:12,6146,5858,22,157,20,clothing
26/05/2016 18:21,6150,5676,44,1926,19,clothing
26/05/2016 18:21,6149,5715,90,1972,6,movies
26/05/2016 18:27,6145,5724,11,1260,27,games
26/05/2016 18:30,6147,5893,64,1544,6,movies
26/05/2016 18:32,6153,5747,94,239,0,sports
26/05/2016 18:34,6154,5725,77,343,12,computers
26/05/2016 18:35,6152,5820,9,1300,26,movies
26/05/2016 18:37,6176,5955,64,2009,19,clothing
26/05/2016 18:39,6181,5807,54,1026,23,fashion
26/05/2016 18:40,6175,5844,53,670,17,games
26/05/2016 18:43,6178,5940,64,564,24,clothing
26/05/2016 18:52,6179,5835,99,1,23,fashion
26/05/2016 18:55,6180,5770,25,1807,28,hardware
26/05/2016 19:03,6177,5829,78,1769,29,automotive
26/05/2016 19:04,6182,5835,99,1,22,computers
26/05/2016 19:15,6204,5912,61,1645,25,computers
26/05/2016 19:18,6206,5866,54,1234,17,games
26/05/2016 19:18,6207,5663,94,1966,19,clothing
26/05/2016 19:24,6205,5869,22,90,23,fashion
26/05/2016 19:31,6203,5697,35,2199,3,electronics
26/05/2016 19:42,6233,5945,75,253,18,games
